objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pbs,test001.jpg,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
pbs0001,,znU0owCMYJ0,Brew Story: Gigantic Brewing Company,Hopstories,2016-02-10,"Gigantic Brewing Company is not very big on purpose. They sell small amounts of beer in a lot of places. Located in an industrial area of SE Portland, their brewery and taproom has become the neighborhood pub where regulars are now friends. They have a different artist create each label making their brand unique and honest. Gigantic is part of a rich collective of breweries in our county that sets us apart from other places in the U.S. and the world.",Breweries;Storytelling,"Portland, Oregon",45.485105,-122.639444,Portland Brew Stories,znU0owCMYJ0,Movingimage,application/streamingmedia,eng,In copyright. © 2016 Hopstories. All Rights Reserved.,http://rightsstatements.org/vocab/InC/1.0/
pbs0002,PUpic_000129.jpg,,"Howell, Jay",Gigantic Brewing Company,2015-10-28,"The bottle label was designed by Jay Howell. Among other things, Howell is notorious for his hit show on Nickelodeon ""Sanjay and Craig."" The design was created for Beer #3, Axes of Evil of Gigantic Brewing Company.",Beer labels,"Portland, Oregon",45.485105,-122.639444,Portland Brew Stories,PUpic_000129,Image;StillImage,image/jpeg,eng,"In copyright. Used by permission of the copyright holder, who retains publication rights thereto. Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law.",http://rightsstatements.org/vocab/InC/1.0/
pbs0003,PUpic_000117.jpg,,Jeremyville,Gigantic Brewing Company,2015-10-27,"The label design is created by Jeremyville, a New York based artist, product designer and author. A sleepy mustache riding a bicycle is featured as the design for Beer #16, a pale ale at Gigantic Brewing Company. The label also includes details on the composition as well as a quote by Jonathan Swift, ""The proper words in the proper places are the true definition of style.""",Beer labels,"Portland, Oregon",45.485105,-122.639444,Portland Brew Stories,PUpic_000117,Image;StillImage,image/jpeg,eng,"In copyright. Used by permission of the copyright holder, who retains publication rights thereto. Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law.",http://rightsstatements.org/vocab/InC/1.0/
pbs0004,PUpic_000288.jpg,,"Ontiveros, Martin",Gigantic Brewing Company,2012-09-05,"The bottle label for Gigantic Brewing Company's Beer #4 was created by a Portland, Oregon based artist, Martin Ontiveros. The design was created for an Imperial Cascadian Dark Ale called Black Friday which was served in the fall of 2012. The design includes eye-popping art work as well as composition and flavor of the brew.",Beer labels,"Portland, Oregon",45.485105,-122.639444,Portland Brew Stories,PUpic_000288,Image;StillImage,image/jpeg,eng,"In copyright. Used by permission of the copyright holder, who retains publication rights thereto. Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law.",http://rightsstatements.org/vocab/InC/1.0/
pbs0005,PUpic_000132.jpg,,Nychos,Gigantic Brewing Company,2015-10-28,"The bottle label was designed by Nychos, an open minded comic artist based in San Francisco, CA. Motivated by humor and logic Nychos believes that simply painting a character is boring and takes his art to a new level by showing how the anatomy works. The label design features a dissected head revealing the inner anatomy. The label also includes detail on the composition and flavor of the brew.",Beer labels,"Portland, Oregon",45.485105,-122.639444,Portland Brew Stories,PUpic_000132,Image;StillImage,image/jpeg,eng,"In copyright. Used by permission of the copyright holder, who retains publication rights thereto. Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law.",http://rightsstatements.org/vocab/InC/1.0/
pbs0006,PUpic_000290.jpg,,Gigantic Brewing Company's brewing tanks,Gigantic Brewing Company,2012-01-23,A photograph of brewing tanks being set up at the brewery. Co-owner Van Havig chose to refrain from the same-old tanks used for German lagers and entirely customized the details of the tanks used at Gigantic Brewing Company.,Breweries;Breweries--Equipment and supplies,"Portland, Oregon",45.485105,-122.639444,Portland Brew Stories,PUpic_000290,Image;StillImage,image/jpeg,eng,"In copyright. Used by permission of the copyright holder, who retains publication rights thereto. Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law.",http://rightsstatements.org/vocab/InC/1.0/
pbs0007,,ZEC9f5MHfww,Brew Story: Ecliptic Brewing,Hopstories,2016-02-12,"Beer and food made from the stars can be found at Ecliptic Brewing. In 2013, Oregon brew legend John Harris opened his own brewery bringing with him nearly 30 years of experience and passion. Ecliptic Brewing applies an astronomical theme not only in their branding, but also with an excellent quality of life for their employees. Collaboration through co-creation, co-branding, and co-promotion is what Ecliptic brings to the tight knit community of brewers in Portland recognizing that strength in numbers increases quality and feeds in to Portland being the #1 brew city in the U.S.",Breweries;Storytelling,"Portland, Oregon",45.547863,-122.675064,Portland Brew Stories,ZEC9f5MHfww,Movingimage,application/streamingmedia,eng,In copyright. © 2016 Hopstories. All Rights Reserved.,http://rightsstatements.org/vocab/InC/1.0/
pbs0008,PUpic_000220.jpg,,Ecliptic Brewing Helix bottle label,Ecliptic Brewing,2015-09-09,Beer bottle label for Ecliptic Brewing's Helix Hoppy Lager. The company logo in turquoise with yellow lettering is centered against a black background that looks like the dark night sky filled with stars. The label also includes details on the composition and flavor of the beer. This seasonal beer released in March of 2014 was named after the large planetary nebula and sun-like star located in the constellation Aquarius.,Beer labels,"Portland, Oregon",45.547863,-122.675064,Portland Brew Stories,PUpic_000220,Image;StillImage,image/jpeg,eng,"In copyright. Used by permission of the copyright holder, who retains publication rights thereto. Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law.",http://rightsstatements.org/vocab/InC/1.0/
pbs0009,PUpic_000211.jpg,,Ecliptic Brewing Orange Giant bottle label,Ecliptic Brewing,2015-09-09,Beer bottle label for Ecliptic Brewing's Orange Giant Barleywine Ale. A Sputnik-inspired line drawing of a wooden barrel is centered against a speckled black background that looks like the dark night sky. The label also includes details on the composition and flavor of the beer. This beer aged in bourbon barrels won a silver medal in the wood-aged category of 2015 Best Of Craft Beer Awards.,Beer labels,"Portland, Oregon",45.547863,-122.675064,Portland Brew Stories,PUpic_000211,Image;StillImage,image/jpeg,eng,"In copyright. Used by permission of the copyright holder, who retains publication rights thereto. Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law.",http://rightsstatements.org/vocab/InC/1.0/
